element	sp_num	obs_wl_vac(nm)	unc_obs_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref
O	2	"444.8057"	"0.0010"	"6*"	""		"28.941697"	"31.729090"	"2s2.2p2.(3P).3d"	"2P"	"3/2"	"2s2.2p2.(3P).4f D"	"2[1]*"	"1/2"		""	"L10621"
O	2	"444.8057"	"0.0010"	"6*"	""		"28.941697"	"31.729084"	"2s2.2p2.(3P).3d"	"2P"	"3/2"	"2s2.2p2.(3P).4f D"	"2[1]*"	"3/2"		""	"L10621"
N	2	"444.828"	"0.010"	"650"	"1.12e+08"	B+	"20.409133"	"23.196374"	"2s2.2p.3p"	"1P"	"1"	"2s2.2p.3d"	"1D*"	"2"		"T7333"	"L3513"
O	2	"444.8922"	"0.0010"	"5"	"2.52e+06"	D	"28.361069"	"31.147904"	"2s2.2p2.(1D).3p"	"2F*"	"7/2"	"2s2.2p2.(1D).3d"	"2F"	"5/2"		"T5723LS"	"L10621"
O	2	"444.9435"	"0.0010"	"16"	"5.10e+07"	D	"28.361069"	"31.147582"	"2s2.2p2.(1D).3p"	"2F*"	"7/2"	"2s2.2p2.(1D).3d"	"2F"	"7/2"		"T5723LS"	"L10621"
O	2	"445.3625"	"0.0010"	"18"	"1.37e+07"	B	"23.4415082"	"26.2254001"	"2s2.2p2.(3P).3s"	"2P"	"3/2"	"2s2.2p2.(3P).3p"	"2D*"	"3/2"		"T6172,T6632"	"L10621,L3448"
B	4	"446.069"	"0.010"	"30*"	""		"[250.54381]"	"[253.32330]"	"1s.5p"	"3P*"	"0"	"1s.6d"	"3D"	"2"		""	"L12548"
B	4	"446.069"	"0.010"	"30*"	""		"[250.54381]"	"[253.32330]"	"1s.5p"	"3P*"	"1"	"1s.6d"	"3D"	"2"		""	"L12548"
B	4	"446.069"	"0.010"	"30*"	""		"[250.54381]"	"[253.32330]"	"1s.5p"	"3P*"	"2"	"1s.6d"	"3D"	"2"		""	"L12548"
C	1	"446.2552"	"0.0010"	"2800*"	""		"7.94613476"	"10.7244786"	"2s.2p3"	"3D*"	"1"	"2s2.2p.(2P*<3/2>).5f"	"2[3/2]"	"2"		""	"L17684"
C	1	"446.2552"	"0.0010"	"2800*"	""		"7.94613476"	"10.7244500"	"2s.2p3"	"3D*"	"1"	"2s2.2p.(2P*<3/2>).5f"	"2[3/2]"	"1"		""	"L17684"
