Time (s),Pressure (Torr),Laser output power (W),Laser peak power (W)
22.263612270355225,0.0,0.0,0.0
22.29329824447632,0.0,0.0,0.0
22.323583602905273,0.0,0.0,0.0
22.355534553527832,0.0,0.0,0.0
22.38305950164795,0.0,0.0,0.0
22.41460084915161,0.0,0.0,0.0
22.445687532424927,0.0,0.0,0.0
22.476412534713745,0.0,0.0,0.0
22.506580352783203,0.0,0.0,0.0
22.537110328674316,0.0,0.0,0.0
22.56752347946167,0.0,0.0,0.0
22.607311964035034,0.0,0.0,0.0
22.643672704696655,0.0,0.0,0.0
22.67471408843994,0.0,0.0,0.0
22.707147121429443,0.0,0.0,0.0
22.737950801849365,0.0,0.0,0.0
22.76887583732605,0.0,0.0,0.0
22.80475926399231,0.0,0.0,0.0
22.844616413116455,0.0,0.0,0.0
22.87580442428589,0.0,0.0,0.0
22.905928373336792,0.0,0.0,0.0
22.935713052749634,0.0,0.0,0.0
22.96533989906311,0.0,0.0,0.0
23.007713079452515,0.0,0.0,0.0
23.042657136917114,0.0,0.0,0.0
23.073220252990723,0.0,0.0,0.0
23.104811191558838,0.0,0.0,0.0
23.135645866394043,0.0,0.0,0.0
23.16552734375,0.0,0.0,0.0
23.196754932403564,0.0,0.0,0.0
23.225732564926147,0.0,0.0,0.0
23.256698608398438,0.0,0.0,0.0
23.288068056106567,0.0,0.0,0.0
23.31833553314209,0.0,0.0,0.0
23.34910488128662,0.0,0.0,0.0
23.380945682525635,0.0,0.0,0.0
23.412258625030518,0.0,0.0,0.0
23.441651582717896,0.0,0.0,0.0
23.47363805770874,0.0,0.0,0.0
23.503625631332397,0.0,0.0,0.0
23.533435106277466,0.0,0.0,0.0
23.564603567123413,0.0,0.0,0.0
23.594086170196533,0.0,0.0,0.0
23.624346017837524,0.0,0.0,0.0
23.656601905822754,0.0,0.0,0.0
23.686755895614624,0.0,0.0,0.0
23.717899084091187,0.0,0.0,0.0
23.74821138381958,0.0,0.0,0.0
23.780842542648315,0.0,0.0,0.0
23.815470457077026,0.0,0.0,0.0
23.85677218437195,0.0,0.0,0.0
23.887616634368896,0.0,0.0,0.0
23.9185152053833,0.0,0.0,0.0
23.949936628341675,0.0,0.0,0.0
23.98031258583069,0.0,0.0,0.0
24.015588998794556,0.0,0.0,0.0
24.040855169296265,0.0,0.0,0.0
24.071737051010132,0.0,0.0,0.0
24.10206437110901,0.0,0.0,0.0
24.133724212646484,0.0,0.0,0.0
24.163264513015747,0.0,0.0,0.0
24.194686889648438,0.0,0.0,0.0
24.238361358642578,0.0,0.0,0.0
24.271204471588135,0.0,0.0,0.0
24.303042888641357,0.0,0.0,0.0
24.333724975585938,0.0,0.0,0.0
24.36440634727478,0.0,0.0,0.0
24.39488697052002,0.0,0.0,0.0
24.42508339881897,0.0,0.0,0.0
24.454027891159058,0.0,0.0,0.0
24.485156774520874,0.0,0.0,0.0
24.516900777816772,0.0,0.0,0.0
24.5478093624115,0.0,0.0,0.0
24.577693700790405,0.0,0.0,0.0
24.6086688041687,0.0,0.0,0.0
24.641722440719604,0.0,0.0,0.0
24.668681144714355,0.0,0.0,0.0
24.699984312057495,0.0,0.0,0.0
24.73085856437683,0.0,0.0,0.0
24.761160612106323,0.0,0.0,0.0
24.791176319122314,0.0,0.0,0.0
24.822880029678345,0.0,0.0,0.0
24.850874423980713,0.0,0.0,0.0
24.8825204372406,0.0,0.0,0.0
24.914806842803955,0.0,0.0,0.0
24.94578742980957,0.0,0.0,0.0
24.976482152938843,0.0,0.0,0.0
25.007304191589355,0.0,0.0,0.0
25.052982568740845,0.0,0.0,0.0
25.084092378616333,0.0,0.0,0.0
25.114601373672485,0.0,0.0,0.0
25.14548420906067,0.0,0.0,0.0
25.194726943969727,0.0,0.0,0.0
25.220691680908203,0.0,0.0,0.0
25.25148868560791,0.0,0.0,0.0
25.282354831695557,0.0,0.0,0.0
25.314565420150757,0.0,0.0,0.0
25.347079753875732,0.0,0.0,0.0
25.378151893615723,0.0,0.0,0.0
25.409740686416626,0.0,0.0,0.0
25.43994927406311,0.0,0.0,0.0
25.46808409690857,0.0,0.0,0.0
25.498969554901123,0.0,0.0,0.0
25.529468536376953,0.0,0.0,0.0
25.560547590255737,0.0,0.0,0.0
25.592968463897705,0.0,0.0,0.0
25.62509036064148,0.0,0.0,0.0
25.65352964401245,0.0,0.0,0.0
25.68592095375061,0.0,0.0,0.0
25.71744179725647,0.0,0.0,0.0
25.747395753860474,0.0,0.0,0.0
25.777931213378906,0.0,0.0,0.0
25.807430505752563,0.0,0.0,0.0
25.83776092529297,0.0,0.0,0.0
25.87076425552368,0.0,0.0,0.0
25.899040460586548,0.0,0.0,0.0
25.92976212501526,0.0,0.0,0.0
25.96088409423828,0.0,0.0,0.0
25.991683959960938,0.0,0.0,0.0
26.02275800704956,0.0,0.0,0.0
26.05777645111084,0.0,0.0,0.0
26.097678184509277,0.0,0.0,0.0
26.130779266357422,0.0,0.0,0.0
26.162506103515625,0.0,0.0,0.0
26.19424533843994,0.0,0.0,0.0
26.224313735961914,0.0,0.0,0.0
26.264607191085815,0.0,0.0,0.0
26.301912784576416,0.0,0.0,0.0
26.333059310913086,0.0,0.0,0.0
26.364439725875854,0.0,0.0,0.0
26.394036054611206,0.0,0.0,0.0
26.424859523773193,0.0,0.0,0.0
26.456737756729126,0.0,0.0,0.0
26.484946966171265,0.0,0.0,0.0
26.515788316726685,0.0,0.0,0.0
26.547977447509766,0.0,0.0,0.0
26.57823872566223,0.0,0.0,0.0
26.609888553619385,0.0,0.0,0.0
26.63889193534851,0.0,0.0,0.0
26.668689012527466,0.0,0.0,0.0
26.69926381111145,0.0,0.0,0.0
26.731792211532593,0.0,0.0,0.0
26.762542486190796,0.0,0.0,0.0
26.792802333831787,0.0,0.0,0.0
