Wavelength (nm),Transmission (%)
1048,0.8791314363
1047,0.8942082524
1046,0.8947588205
1045,0.89621526
1044,0.8937728405
1043,0.8949294686
1042,0.9019145966
1041,0.8917000294
1040,0.8849122524
1039,0.9016634822
1038,0.888374269
1037,0.8981933594
1036,0.8796332479
1035,0.8808498383
1034,0.8918796778
1033,0.8916507363
1032,0.8882085681
1031,0.8877058625
1030,0.8939201832
1029,0.8925328255
1028,0.8931723237
1027,0.8928024173
1026,0.8946213722
1025,0.8938364983
1024,0.8950630426
1023,0.886087656
1022,0.892873764
1021,0.894492209
1020,0.8937804103
1019,0.8916998506
1018,0.8883509636
1017,0.8962422609
1016,0.8944337964
1015,0.9052334428
1014,0.9055716991
1013,0.8839864135
1012,0.8793718219
1011,0.9049867988
1010,0.8868818283
1009,0.8917030692
1008,0.8900955319
1007,0.8959086537
1006,0.8871861696
1005,0.8971815109
1004,0.8995925784
1003,0.8857045174
1002,0.8957667947
1001,0.8911904097
1000,0.8900654316
999,0.8976426125
998,0.8945727944
997,0.8860897422
996,0.8976323605
995,0.9021035433
994,0.8965438008
993,0.8951274753
992,0.8892350197
991,0.8943526745
990,0.8901552558
989,0.8951669335
988,0.8967230916
987,0.8947683573
986,0.8971115351
985,0.8967411518
984,0.902032733
983,0.8963111639
982,0.8971179724
981,0.9072332382
980,0.8934460878
979,0.8925226331
978,0.8908154368
977,0.8919724226
976,0.8980712891
975,0.8970038295
974,0.8913474083
973,0.8960252404
972,0.897469461
971,0.9018822312
970,0.9006155729
969,0.8991484642
968,0.8954977393
967,0.8956791759
966,0.89899683
965,0.9056954384
964,0.8929589987
963,0.9015035033
962,0.9025229812
961,0.8882575631
960,0.9039056301
959,0.896554172
958,0.918268621
957,0.9022136331
956,0.8885390162
955,0.9016393423
954,0.9010224342
953,0.8953233361
952,0.8987368941
951,0.8982548714
950,0.8945884109
949,0.8998842835
948,0.8990252614
947,0.8999235034
946,0.9021525383
945,0.9000464082
944,0.8836378455
943,0.9085633755
942,0.9008703828
941,0.9084971547
940,0.8966972828
939,0.9037688375
938,0.8975999355
937,0.9051581621
936,0.8973158002
935,0.9071552157
934,0.8996764421
933,0.9022445679
932,0.9035454988
931,0.9027345181
930,0.9090349078
929,0.9022058249
928,0.9017304778
927,0.8908134699
926,0.8999378681
925,0.9062982202
924,0.9010996819
923,0.9023714066
922,0.895704031
921,0.8996518254
920,0.9125266075
919,0.9210021496
918,0.8973525167
917,0.9033633471
916,0.9120593071
915,0.895870924
914,0.9016550183
913,0.8945287466
