Time (s),TC1 (C),TC2 (C)
67.685,408.0,18.0
67.745,408.0,18.0
67.805,408.0,18.0
67.865,407.75,18.0
67.925,408.0,18.0
67.985,407.75,18.0
68.045,408.0,18.0
68.105,408.0,18.0
68.165,407.75,18.0
68.225,407.75,18.0
68.285,407.75,18.0
68.345,407.75,18.0
68.405,407.75,18.0
68.465,408.0,18.0
68.525,407.75,18.0
68.585,408.0,18.0
68.645,407.75,18.0
68.705,408.0,18.0
68.765,408.0,18.0
68.825,408.0,18.0
68.885,408.0,18.0
68.945,408.0,18.0
69.005,408.0,18.0
69.065,408.0,18.0
69.125,408.0,18.0
69.185,407.75,18.0
69.245,408.0,18.0
69.305,407.75,18.0
69.365,407.75,18.0
69.425,408.0,18.0
