#Procedure: <__main__.ExtrusionProcedure>
#Parameters:
#	Bake Time: 60 min
#	Baking Position: 18 in
#	DC Voltage: 0
#	Voltage Mode: PID
#	Sample Length: 5 cm
#	Sample Name: R4N32_CYREZ
#	Ramping rate: 25 C/min
#	Temperature setpoint: 800 C
#	Stabilization Time: 5 min
#Data:
Time (s),Baking Pressure (Torr),Outgassing Pressure (Torr),Baking Temperature (C),Outgassing Temperature (C),Position (in),DC Voltage (V),Is Baking?
5957.168723106384,0.042,0.028999999999999998,801.25,210.75,8.61755905511811,0,0.0
5958.199480295181,0.042,0.028999999999999998,801.25,211.75,8.604527559055118,40.87712370117269,0.0
5959.513125419617,0.042,0.028999999999999998,800.25,212.75,8.61755905511811,116.09893413718065,0.0
5960.532822132111,0.042,0.028999999999999998,800.5,212.5,8.6305905511811,137.05368069770165,0.0
5961.679395675659,0.042,0.028999999999999998,800.25,211.0,8.669685039370078,94.17351884769299,0.0
5963.313382148743,0.042,0.028999999999999998,800.75,210.75,8.604527559055118,21.359555123732576,0.0
5964.605659246445,0.042,0.028999999999999998,800.0,210.5,8.643622047244094,94.83064935730722,0.0
5965.6305809021,0.042,0.028999999999999998,800.0,211.5,8.68271653543307,114.82351003314653,0.0
5966.79433298111,0.042,0.028999999999999998,800.5,212.0,8.656653543307085,45.29363659328419,0.0
5968.022537469864,0.042,0.028999999999999998,799.75,212.5,8.578464566929133,200.0,0.0
5969.047580957413,0.042,0.028999999999999998,800.5,212.25,8.578464566929133,0,0.0
5970.3777232170105,0.042,0.028999999999999998,800.75,211.0,8.61755905511811,48.77772070393256,0.0
5971.504720926285,0.042,0.028999999999999998,800.5,210.75,8.656653543307085,119.82661960302671,0.0
5973.142774581909,0.042,0.028999999999999998,800.75,211.0,8.604527559055118,193.2411400059135,0.0
5974.166828870773,0.042,0.028999999999999998,801.0,212.75,8.68271653543307,38.01956625777565,0.0
5975.60200881958,0.042,0.028999999999999998,801.0,212.5,8.604527559055118,63.85611949302147,0.0
5976.626004934311,0.042,0.028999999999999998,800.5,212.0,8.656653543307085,92.72897949953456,0.0
5978.262843847275,0.042,0.028999999999999998,800.5,212.5,8.61755905511811,200.0,0.0
5979.5453979969025,0.042,0.028999999999999998,800.25,210.5,8.669685039370078,93.28424278967988,0.0
5980.570531368256,0.042,0.028999999999999998,801.0,210.5,8.61755905511811,71.351079396769,0.0
5981.927397012711,0.042,0.028999999999999998,801.0,212.25,8.643622047244094,136.5592131707305,0.0
5982.9447729587555,0.042,0.028999999999999998,801.25,212.75,8.61755905511811,89.95000741499757,0.0
5983.999189376831,0.042,0.028999999999999998,801.5,212.5,8.578464566929133,0,0.0
5985.317646741867,0.042,0.028999999999999998,801.0,212.25,8.695748031496061,90.38486637916066,0.0
5986.343896150589,0.042,0.028999999999999998,801.0,212.25,8.61755905511811,62.058547083093046,0.0
5987.4800815582275,0.042,0.028999999999999998,801.0,211.25,8.68271653543307,90.19149947188835,0.0
5988.718219041824,0.042,0.028999999999999998,800.5,210.75,8.669685039370078,135.23850716576385,0.0
5990.14301609993,0.042,0.028999999999999998,800.75,210.75,8.6305905511811,0,0.0
5991.167380809784,0.042,0.028999999999999998,800.25,210.75,8.656653543307085,166.1792645693339,0.0
5992.450228691101,0.042,0.028999999999999998,800.5,212.25,8.643622047244094,113.28305140878012,0.0
5993.46842622757,0.042,0.028999999999999998,800.75,212.75,8.643622047244094,71.45108556431683,0.0
5994.827705621719,0.042,0.028999999999999998,800.25,212.25,8.591496062992125,160.59743874896049,0.0
5995.876533269882,0.042,0.028999999999999998,800.75,210.75,8.6305905511811,0,0.0
5997.199186086655,0.042,0.028999999999999998,800.0,210.5,8.6305905511811,92.80076788410494,0.0
5998.2148513793945,0.042,0.028999999999999998,799.75,211.5,8.669685039370078,115.89033162472509,0.0
5999.357746601105,0.042,0.028999999999999998,800.5,212.75,8.61755905511811,67.27741239464697,0.0
6000.384795427322,0.042,0.028999999999999998,799.75,212.75,8.591496062992125,93.55253614670448,0.0
6001.9516685009,0.042,0.028999999999999998,800.0,212.0,8.61755905511811,51.154505336994966,0.0
6002.974037408829,0.042,0.028999999999999998,799.5,212.75,8.591496062992125,193.4639418031194,0.0
6004.06756901741,0.042,0.028999999999999998,800.0,211.75,8.591496062992125,32.86218737257053,0.0
