time (s),T1 (C),T2 (C),T3 (C),T4 (C),T5 (C)
14.05,38.5,40.25,40.75,43.5,45.25
14.100000000000001,38.5,40.25,40.75,43.5,45.25
14.15,38.5,40.25,40.75,43.5,45.25
14.200000000000001,38.5,40.25,40.75,43.5,45.25
14.25,38.5,40.25,40.75,43.5,45.25
14.3,38.5,40.25,40.75,43.5,45.25
14.350000000000001,38.5,40.25,40.75,43.5,45.25
14.4,38.5,40.25,40.75,43.5,45.25
14.450000000000001,38.5,40.25,41.0,43.5,45.25
14.5,38.5,40.25,40.75,43.5,45.25
14.55,38.5,40.25,40.75,43.5,45.25
14.600000000000001,38.5,40.25,41.0,43.5,45.25
14.65,38.5,40.25,41.0,43.5,45.25
14.700000000000001,38.5,40.25,41.0,43.25,45.25
14.75,38.5,40.25,41.0,43.25,45.25
14.8,38.5,40.25,41.0,43.25,45.25
14.850000000000001,38.5,40.25,41.0,43.25,45.25
14.9,38.5,40.25,40.75,43.25,45.25
14.950000000000001,38.5,40.25,41.0,43.25,45.25
15.0,38.25,40.25,41.0,43.25,45.25
15.05,38.5,40.25,41.0,43.25,45.25
15.100000000000001,38.5,40.25,41.0,43.25,45.25
15.15,38.5,40.25,41.0,43.25,45.25
15.200000000000001,38.5,40.25,41.0,43.25,45.25
15.25,38.5,40.25,41.0,43.25,45.25
15.3,38.5,40.25,41.0,43.25,45.25
15.350000000000001,38.25,40.25,41.0,43.25,45.25
15.4,38.25,40.25,41.0,43.25,45.25
15.450000000000001,38.5,40.25,41.0,43.0,45.25
15.5,38.25,40.25,41.0,43.0,45.25
15.55,38.25,40.25,41.0,43.0,45.25
15.600000000000001,38.25,40.5,41.0,43.0,45.25
15.65,38.25,40.25,41.0,43.0,45.25
15.700000000000001,38.25,40.25,41.0,43.0,45.25
15.75,38.5,40.25,41.0,43.0,45.25
15.8,38.25,40.25,41.0,43.0,45.25
15.850000000000001,38.25,40.25,41.0,43.0,45.25
15.9,38.25,40.25,41.0,43.0,45.25
15.950000000000001,38.5,40.25,41.0,43.0,45.25
16.0,38.5,40.25,41.0,43.0,45.25
16.05,38.25,40.25,41.0,43.0,45.25
16.1,38.25,40.25,41.0,43.0,45.25
16.150000000000002,38.25,40.25000000000018,41.0,43.0,45.25
16.2,38.25,40.5,41.0,43.0,45.25
16.25,38.5,40.5,41.0,43.0,45.25
16.3,38.5,40.5,41.0,43.0,45.25
16.35,38.5,40.5,41.0,43.0,45.25
16.400000000000002,38.5,40.5,41.0,43.0,45.25
16.45,38.5,40.5,41.0,43.0,45.25
16.5,38.25,40.5,41.0,43.0,45.25
16.55,38.5,40.25,41.0,42.75,45.25
16.6,38.5,40.25,41.0,42.75,45.25
16.650000000000002,38.5,40.5,41.0,43.0,45.25
16.7,38.25,40.5,41.0,43.0,45.25
16.75,38.25,40.5,41.0,43.0,45.25
16.8,38.25,40.5,41.0,42.75,45.25
16.85,38.5,40.5,41.0,42.75,45.25
16.900000000000002,38.5,40.49999999999982,41.0,42.75,45.25
16.95,38.25,40.25,41.0,42.75,45.25
17.0,38.5,40.5,41.0,42.75,45.25
17.05,38.5,40.5,41.0,42.75,45.25
17.1,38.25,40.5,41.0,42.75,45.0
17.150000000000002,38.25,40.5,41.0,42.75,45.00000000000018
17.2,38.25,40.5,41.0,42.75,45.25
17.25,38.5,40.5,41.0,42.75,45.25
17.3,38.5,40.5,41.0,42.75,45.25
17.35,38.5,40.5,41.0,42.75,45.25
17.400000000000002,38.25,40.5,41.0,42.75,45.25
17.45,38.25,40.5,41.0,42.75,45.25
17.5,38.25,40.5,41.0,42.75,45.25
17.55,38.5,40.5,41.0,42.5,45.0
17.6,38.25,40.5,41.0,42.75,45.0
17.650000000000002,38.25,40.5,41.0,42.5,45.25
17.7,38.25,40.5,41.0,42.5,45.25
17.75,38.25,40.5,41.0,42.5,45.25
17.8,38.25,40.5,41.0,42.5,45.0
17.85,38.25,40.5,41.0,42.5,45.25
17.900000000000002,38.25,40.5,41.0,42.5,45.24999999999982
17.95,38.25,40.5,41.0,42.5,45.0
18.0,38.25,40.5,41.0,42.5,45.25
18.05,38.25,40.5,41.0,42.5,45.25
18.1,38.25,40.75,41.0,42.5,45.0
18.150000000000002,38.25,40.74999999999982,41.0,42.5,45.25
