Time (s),Evaporation rate (atoms/s),Evaporation rate lb (atoms/s),Evaporation rate ub (atoms/s),DiMES temperature (K),Pebble rod temperature (K)
1.5771112000002177,2063079020271965.5,555600750682143.75,8543635734370434.0,587.2984985351562,1602.0292233720113
1.578106200002367,2017162138555216.5,541223294564450.25,8388496242898519.0,578.8486694335937,1600.6588159474022
1.5791022000048542,1974581347931085.5,528351088517807.56,8241887718327525.0,575.1221374511719,1599.528452329998
1.5800971999997273,2053129750836455.0,552295425877422.0,8511156606722100.0,583.8108276367187,1601.6734620711518
1.5810922000018763,2046682743190821.2,550275084024168.4,8489383267369063.0,582.6048034667969,1601.480644059521
1.582088200004364,2006520542333324.5,537994480795547.1,8351925923404189.0,577.8049682617187,1600.3728672980367
1.583083199999237,2018496851449171.8,541629087427267.8,8393078199040281.0,578.9871887207031,1600.694924843177
1.5840792000017243,1981897371106206.2,530555378915167.3,8267120130029113.0,575.6916564941406,1599.7205524709293
1.5850742000038736,1970805280305439.2,527214197241250.0,8228859594961313.0,574.8364013671875,1599.429531658501
1.5860691999987466,1960018671862911.2,523969269820692.06,8191628425668677.0,574.0473693847656,1599.147692584614
1.5870652000012342,1898648193222256.0,505557853945267.94,7979516967432154.0,570.10068359375,1597.5571594090195
1.5880602000033832,1926471621582152.2,513896698770494.25,8075727416906295.0,571.7968200683594,1598.2762480999158
1.5890561999985948,1857372488548430.8,493202476741336.06,7836710969008642.0,567.7775939941406,1596.4933658443954
1.5900512000007438,1851745053148815.2,491518925731849.75,7817236542347331.0,567.4746765136719,1596.348462029124
1.5910462000028929,1864312312075006.0,495278911801295.44,7860725898835296.0,568.1552185058594,1596.6720885858053
1.5920422000053804,1850327944905283.5,491094999057977.4,7812332345559300.0,567.3988403320312,1596.3119743505904
1.5930372000002535,1862933279377672.5,494866273087527.25,7855953933803264.0,568.0798095703125,1596.636571355183
1.594033200002741,1821132039183099.8,482363047050187.4,7711285929232409.0,565.8720764160156,1595.5602804593289
1.59502820000489,1858769023121511.2,493620304018507.8,7841543720461001.0,567.8532165527344,1596.529328535564
1.5960242000001017,1847480503847269.8,490243221020570.56,7802478049976623.0,567.2469848632812,1596.2386605487727
1.5970192000022507,1830057268524579.8,485032070572723.94,7742177237604539.0,566.3320678710937,1595.7900835622072
1.5980142000043998,1791976022625591.0,473645498094081.0,7610370388398133.0,564.4039672851562,1594.8092641172066
1.5990101999996114,1858769023121511.2,493620304018507.8,7841543720461001.0,567.8532165527344,1596.529328535564
1.6000052000017604,1864312312075006.0,495278911801295.44,7860725898835296.0,568.1552185058594,1596.6720885858053
1.601001200004248,1793542844093788.0,474113937296057.6,7615793521130083.0,564.4816650390625,1594.8496414377464
1.601996199999121,1824122284841851.0,483257229808467.44,7721635623038705.0,566.0255798339844,1595.6372749562613
1.60299120000127,1864312312075006.0,495278911801295.44,7860725898835296.0,568.1552185058594,1596.6720885858053
1.6039872000037576,1785673620559394.8,471761264874965.5,7588556410770134.0,564.0926574707031,1594.6468227312216
1.604982199998631,1787253949715848.0,472233733980993.4,7594026254362158.0,564.1705383300781,1594.6875592001093
1.6059782000011182,1782501471871319.0,470812895952767.06,7577576997205631.0,563.9366821289062,1594.5650445527892
1.6069732000032673,1796665862446463.5,475047647413473.1,7626603031752324.0,564.6369079589844,1594.9301148112759
1.6079682000054163,1787253949715848.0,472233733980993.4,7594026254362158.0,564.1705383300781,1594.6875592001093
1.608964200000628,1818125427244652.8,481463996075051.44,7700879515260834.0,565.7183288574219,1595.4828607485842
1.609959200002777,1812068472350711.2,479652888465809.4,7679915148751167.0,565.4103454589844,1595.326881081337
1.6109552000052645,1769682490039908.5,466980467547555.25,7533208857695608.0,563.310888671875,1594.234435576062
1.6119502000001376,1795105926515238.8,474581261279854.5,7621203719073559.0,564.5593017578125,1594.88991988089
1.6129452000022866,1785673620559394.8,471761264874965.5,7588556410770134.0,564.0926574707031,1594.6468227312216
1.613941200004774,1795105926515238.8,474581261279854.5,7621203719073559.0,564.5593017578125,1594.88991988089
1.6149361999996472,1788831245123849.8,472705297892407.75,7599485610252987.0,564.248388671875,1594.7282145823256
1.6159322000021348,1815104385893391.8,480560654530793.3,7690423095664993.0,565.5644287109375,1595.4050649930632
1.6169272000042838,1858769023121511.2,493620304018507.8,7841543720461001.0,567.8532165527344,1596.529328535564
1.6179221999991569,1881853418000773.5,500528815594874.6,7921418885013151.0,569.1317504882812,1597.124027635031
1.6189182000016444,1843179368563879.0,488956663318149.1,7787592555608993.0,567.018896484375,1596.1279220388803
1.6199132000037937,1879203110343648.2,499735446317226.06,7912249465177121.0,568.98203125,1597.0557200259527
1.620909199999005,1848906424074857.2,490669762894169.94,7807412832493986.0,567.3229431152344,1596.2753737702615
1.621904200001154,1912260809692643.8,509636306177377.75,8026595094482110.0,570.9147399902344,1597.9086791392294
1.6228992000033031,1919450176763769.5,511791290384823.4,8051453628549928.0,571.35654296875,1598.0945470036913
1.6238951999985147,1934448276966274.2,516289548055935.06,8103297865246859.0,572.3085083007812,1598.4829109669654
1.6248902000006638,1945439603715494.0,519588772437452.4,8141276919532344.0,573.0359558105469,1598.7681819222828
1.625886200003151,1896113635296916.8,504798720846836.9,7970750130627182.0,569.9520935058594,1597.4917592225065
1.6268812000053003,1892278606770903.0,503650210253462.06,7957484389711185.0,569.7289184570312,1597.392827994948
1.6278762000001734,1914675704936839.8,510360078897995.06,8034945476727069.0,571.0621704101562,1597.9710932230123
1.628872200002661,1933323502337237.0,515952066138645.25,8099410591948855.0,572.2355712890625,1598.4537526659396
1.62986720000481,1915876498975580.2,510720001624552.0,8039097495976519.0,571.13583984375,1598.0021351286314
1.6308632000000216,1884486000110597.2,501316939088708.44,7930526675991959.0,569.2812866210937,1597.1918885501227
1.6318582000021706,1785673620559394.8,471761264874965.5,7588556410770134.0,564.0926574707031,1594.6468227312216
1.6328542000046582,1909827232085401.0,508907014632981.4,8018179678295991.0,570.7671264648437,1597.8457999961809
1.6338491999995313,1861549712547220.5,494452289997693.5,7851166221423483.0,568.0043395996094,1596.600938786432
1.6348442000016803,1834467312936937.5,486350961913204.75,7757440599845777.0,566.5614379882812,1595.9036244958183
1.635840200004168,1793542844093788.0,474113937296057.6,7615793521130083.0,564.4816650390625,1594.8496414377464
1.636835199999041,1774514030818861.8,468424928190700.56,7549931262723474.0,563.5459350585937,1594.3590706045873
1.6378312000015285,1772906537553203.0,467944344522257.8,7544367554763366.0,563.467626953125,1594.3176072653182
1.6388262000036775,1751727129320093.5,461612352655307.3,7471066285088283.0,562.445166015625,1593.7709328828896
1.6398211999985506,1724992912577725.2,453618856679705.56,7378551216613330.0,561.1749328613281,1593.079682345348
1.640817200001038,1680255830374163.0,440238216779933.94,7223779626728172.0,559.08212890625,1591.9190449722719
1.6418122000031872,1682000505619436.2,440760182151625.44,7229814189941886.0,559.1632751464844,1591.9644157320513
1.6428081999983988,1694167176035573.0,444399800736162.2,7271899996858576.0,559.7299255371094,1592.2805535448902
1.6438032000005478,1706238589914340.8,448010360334054.06,7313661378114377.0,560.2938903808594,1592.5937916643206
1.6447982000026968,1690700291107243.5,443362755459364.6,7259907125520458.0,559.5683044433594,1592.1905155461418
1.6457942000051844,1676761133206837.0,439192644984306.7,7211692366323619.0,558.9196533203125,1591.828135255077
1.6467892000000577,1652134911535331.8,431823039136408.56,7126531301356198.0,557.7760681152344,1591.1863447615467
1.647785200002545,1728371928081896.8,454629254761543.0,7390243591237736.0,561.3344482421875,1593.1671360508617
1.648780200004694,1711381267204595.5,449548384650367.06,7331454010662293.0,560.5348266601562,1592.7271175098958
1.6497751999995671,1645055960322278.0,429703976375170.56,7102056466085825.0,557.4473327636719,1591.0014500783466
1.650771200002055,1646827325473352.0,430234257814218.9,7108180566879513.0,557.5296081542969,1591.0477343878183
1.6517662000042037,1613057784882125.0,420121238384374.06,6991459436049199.0,555.9568237304687,1590.163112495176
1.652762199999415,1616620447727967.2,421188548010074.25,7003770295050662.0,556.1233581542969,1590.256676474252
1.6537572000015643,1581009517715988.2,410515230647162.25,6880754509767851.0,554.447607421875,1589.3185903968717
1.6547522000037134,1593462733688426.2,414249017267252.94,6923763211345428.0,555.0368103027344,1589.6473916997618
1.655748199998925,1588122570768639.5,412648086559203.5,6905318880996685.0,554.7846435546875,1589.5065003331156
1.656743200001074,1586343533562900.5,412114687311652.06,6899174753600961.0,554.7004760742187,1589.4595288945043
1.6577392000035616,1588122570768639.5,412648086559203.5,6905318880996685.0,554.7846435546875,1589.5065003331156
1.6587341999984346,1620182473517931.8,422255567631115.3,7016079737605760.0,556.2896789550781,1590.350164918776
1.6597292000005837,1566818939543097.5,406258607848587.25,6831760505656883.0,553.7706970214844,1588.942830713554
1.6607252000030712,1542162702461621.0,398857143048580.2,6746675441929519.0,552.5767272949219,1588.2868805173516
1.6617202000052202,1563280198864010.8,405196778192634.7,6819545388763836.0,553.6008361816406,1588.8489347435966
1.662716200000432,1589902041398737.8,413181585199730.75,6911464741999130.0,554.86875,1589.5534658515853
1.6637112000025809,1565049022192361.2,405727546764932.1,6825650922342891.0,553.6857971191406,1588.8958781063402
1.66470620000473,1543914250300602.8,399383188217184.25,6752717844789923.0,552.6624206542969,1588.3336172563331
1.6657021999999415,1542162702461621.0,398857143048580.2,6746675441929519.0,552.5767272949219,1588.2868805173516
1.6666972000020903,1512706390628119.2,390003791591189.8,6645108934812326.0,551.1106018066406,1587.4972995650116
1.667693200004578,1540412947413449.8,398331594839998.5,6740639537450311.0,552.4909729003906,1588.240169158586
1.6686881999994512,1485694083876366.8,381872022883081.4,6552066599333726.0,549.7139343261719,1586.766348266406
1.6696842000019387,1495727772015783.5,384894197136698.6,6586614867799387.0,550.2396301269531,1587.038721754294
1.6706792000040878,1514420413891186.5,390519329788818.8,6651016148610487.0,551.19736328125,1587.5434434737658
1.6716741999989608,1472510792124084.8,377898137093950.75,6506695172888735.0,549.0093444824219,1586.4067233261142
1.6726702000014484,1499099157987629.2,385909217364905.1,6598226659025271.0,550.4143432617187,1587.1300038974432
1.6736652000035974,1490695726050982.5,383378786010806.06,6569286507294906.0,549.9770874023437,1586.9022576556886
1.674661199998809,1492369812039408.0,383882997073543.56,6575050971262347.0,550.0646728515625,1586.947686808505
1.675656200000958,1408569165823475.8,358582802435698.0,6286839477604913.0,545.3302978515625,1584.624099161498
1.676651200003107,1490695726050982.5,383378786010806.06,6569286507294906.0,549.9770874023437,1586.9022576556886
1.677647199998319,1492369812039408.0,383882997073543.56,6575050971262347.0,550.0646728515625,1586.947686808505
1.6786422000004677,1524756235055614.0,393627080561678.2,6686645213769202.0,551.7164978027344,1587.8211547789617
1.6796382000029553,1502483490036944.0,386927917052817.8,6609884665403271.0,550.5888122558594,1587.2215219961995
