# ********************
# Shot #203781
# B-I line brightness
# Wavelength range (Å): [8194, 8196] 
# ********************
time (s),Line brightness (photons/cm^2/ster/s),SX/B,Flux BI (molecules/s)
2.9000010000000005,3151544715164.2124,223.92368389375784,3.6845030569346024e+16
2.920001,1986170126420.3865,201.00507169215987,2.0843895079576852e+16
2.9400010000000005,1312511604985.4958,174.32817473128006,1.19461001810392e+16
2.960001,1311467006890.3347,158.08884403772444,1.0824653680901022e+16
2.9800010000000006,1626011970829.6853,145.1931635783965,1.2326089706095658e+16
3.000001,1118066175820.0078,140.84731689365202,8221887023073379.0
3.0200010000000006,1271109191316.4197,137.4071288032251,9119006838697510.0
3.040001,1686974917933.8943,128.3336279057888,1.1303280747022302e+16
3.0600010000000006,129273695901.79507,123.72209971997508,835050738984933.0
3.080001,421104611846.5063,120.01057485894974,2638547587033537.5
3.1000010000000007,991105031076.5243,125.18003331100145,6477540856357178.0
3.1200010000000002,1621090611669.6665,132.02992614231232,1.1174679818406048e+16
3.140001,1253027537058.175,129.01349759952762,8440169763833288.0
3.1600010000000003,1281351067399.9963,122.80343068742444,8215500984715445.0
3.180001,296354167888.32794,112.61485987036042,1742457353860498.8
3.2000010000000003,717782449907.3978,107.11323738472176,4014129678331374.5
3.220001,455490242444.33527,117.3753105644609,2791330427419960.0
3.2400010000000004,1383002692215.7207,124.79209380777058,9010844901237408.0
3.260001,200000629536.72687,124.89443621933017,1304156985730702.8
3.2800010000000004,588996259007.6658,129.81777369279854,3992106426661843.0
3.300001,544737438317.736,118.77290528233614,3378002925837545.5
3.3200010000000004,865858478538.1702,103.20915622789663,4665740268562346.0
3.340001,349503836202.58966,114.76906752630914,2094267810350590.8
3.3600010000000005,849650534848.5653,126.87662674954878,5628301788263703.0
3.380001,777902892271.9165,128.3928206316142,5214606522326070.0
3.4000010000000005,661762999955.9927,123.43100694065201,4264637985539707.0
3.420001,1123983377648.1194,115.88807069656009,6800706602219143.0
3.4400010000000005,372254896744.87177,117.26053815334032,2279017813187499.5
3.460001,1127158681598.5408,124.241428926289,7311507258676340.0
3.4800010000000006,1316527133268.359,124.67202582837645,8569475631661442.0
3.500001,1451214159838.2322,122.40797674153518,9274631095759836.0
3.5200010000000006,480422425845.76294,119.90679936477174,3007616785058889.0
3.540001,567516406533.386,123.3015643547608,3653443751003099.5
3.5600010000000006,1014720710077.1624,123.95163602511782,6566806282854232.0
3.580001,664468078987.1016,117.91657850883037,4090763844333937.5
3.6000010000000007,257842909099.7041,118.8195682799772,1599552798357074.8
3.6200010000000002,563731441772.2751,123.38808051382117,3631624050891073.0
3.640001,954271902962.1962,125.31291798806369,6243432161740608.0
3.6600010000000003,902048715378.1375,128.78446331955433,6065252454729360.0
3.680001,1251569275192.7761,129.98476205768782,8493814148452831.0
3.7000010000000003,-84230375394.50081,124.39341247255564,-547043088757693.3
3.720001,405270821955.4536,119.39640034522735,2526341104093352.0
3.7400010000000004,303479702299.1955,110.74478477102063,1754722117597848.5
3.760001,906667453035.7273,104.95189492495692,4968138879995438.0
3.7800010000000004,422887008669.8284,110.8850636358346,2448233358018340.0
3.800001,309041249879.28625,114.60623609894074,1849183964245648.0
3.8200010000000004,479481741909.9683,119.93588061533734,3002455781463623.5
3.840001,1060059195221.0902,126.95752952854892,7026580042901920.0
3.8600010000000005,315189204855.2737,107.1016691199877,1762475104442846.5
3.880001,321550228961.5263,93.86467000707111,1575819238381580.0
3.9000010000000005,893862440242.5485,106.24027246655751,4958100002423816.0
3.920001,1155917109219.865,119.10368863858955,7187987631880171.0
3.9400010000000005,208276954345.97412,108.063186247415,1175098858323940.2
3.960001,561909499238.5323,104.19742146121311,3056882623231357.0
3.9800010000000006,1124011943517.0178,99.15503417801114,5818902923961412.0
4.000001,662095668202.5226,112.5663481958546,3891210643210574.5
4.020001000000001,935639472314.8086,112.14123041368921,5478091344476425.0
4.040001,384135247259.12744,89.65328517116363,1798066642890471.5
4.060001000000001,266513363296.25806,115.30138640662605,1604386270061066.5
4.080001,177749375886.2672,107.3867968611235,996585101431831.2
4.100001000000001,521330246327.79987,81.82186111593207,2227089618716357.8
4.120001,612619813605.6805,95.59098646889909,3057478414672920.5
4.140001,694603812707.5995,103.03921564416805,3736759302513671.0
4.160001,180338473256.93185,110.14622854772651,1037082813875669.9
4.180001,106338282626.43932,120.0944182173702,666757457984017.5
4.200001,539771564730.76227,124.81914586538753,3517601403706598.5
4.220001,174571601878.56625,129.8324414544204,1183347338668104.2
4.240001,534331965619.41516,126.99731155542202,3542917999542292.0
4.260001,253737063302.41794,100.45708679335286,1330821799571961.2
4.280001,286275235804.6727,87.82136117897765,1312621044042759.0
4.300001,146219113001.07303,78.72627479748475,601006631834410.1
4.320001,23395136986.058624,74.33062644406782,90792255019068.08
4.340001,212444696633.41202,91.49602848301204,1014853969514221.0
4.3600010000000005,158788647362.03857,98.20412331854253,814150304440662.4
4.380001,390840998980.3135,99.55082520133612,2031423145757737.2
4.4000010000000005,163028758725.79108,93.04443133337998,791972360675541.5
4.420001,348032082747.4313,74.8191710401862,1359526226792936.0
4.4400010000000005,-199041926107.12238,64.20043906613171,-667172260896187.0
4.460001,314285749810.28827,76.7553704749984,1259473051715088.0
4.480001000000001,-119980480658.23412,135.13935501816965,-846540726774000.1
4.500001,-65318169895.40155,232.10925489335705,-791556433217146.5
4.520001000000001,305854880012.67224,172.13566480991568,2748790826562669.5
4.540001,-44414668196.585464,54.224718936160365,-125741648300035.11
4.560001000000001,112609636955.47868,37.076270108617464,217985202410888.9
4.580001,452717415332.9982,40.73859644675068,962916616609587.6
4.600001000000001,94844168977.99464,41.1732052006179,203882865947324.88
4.620001,52955087784.96069,41.028115037503994,113434372851266.33
4.640001000000001,-263736150803.46906,41.01903710674897,-564820618759308.9
4.660001,-244879212885.20163,41.02443103293954,-524505328520063.94
4.680001,257259749634.53156,41.02452357124357,551024369428677.06
4.700001,78425856883.91061,41.024333079982064,167979474975740.06
4.720001,92748350236.1019,41.02433770137522,198656687368501.28
4.740001,64292805892.45019,41.024344104816116,137708086465195.19
4.760001,214382797808.12192,41.02434368196223,459184260868925.56
4.780001,85675503636.16197,41.02434347768979,183507459637994.16
4.800001,272477330936.3988,41.02434350070366,583616328063519.0
4.820001,127749259462.13364,41.02434350681286,273624794675597.34
4.840001,227564550972.11646,41.02434350578761,487418117301028.1
4.8600010000000005,-195140127990.03793,41.02434350561327,-417968586882568.44
4.880001,45250706372.23725,41.024343505660596,96922011852064.61
4.9000010000000005,56330907805.56087,41.024343505656894,120654578716528.92
4.920001,64056882203.77649,41.024343505638946,137202761987525.14
4.9400010000000005,416974910282.0209,41.02434350562518,893114172934281.9
4.960001,-104810561951.28625,41.02434350564666,-224492639829666.84
4.980001000000001,-199988711811.51434,41.024343505655224,-428353717553555.4
