#Procedure: <__main__.ExtruderPIDProcedure>
#Parameters:
#	Experiment Time: 10 min
#	Kd: 0
#	Ki: 0
#	Kp: 2000
#	Temperature Setpoint: 100 C
#Data:
Time (min),Temperature (C),Voltage (V),PID Control (V)
4.187752962112427,504.5,0.0,0
4.199114139874776,504.0,0.0,0
4.20610993305842,503.75,0.0,0
4.21613605817159,503.25,0.0,0
4.222063565254212,503.0,0.0,0
4.232925462722778,502.75,0.0,0
4.238590840498606,502.5,0.0,0
4.247102987766266,502.25,0.0,0
4.256994100411733,501.75,0.0,0
4.263987803459168,501.5,0.0,0
4.273836763699849,501.0,0.0,0
4.283685958385467,500.75,0.0,0
4.293705856800079,500.5,0.0,0
4.304259677728017,500.0,0.0,0
4.3110223372777305,499.75,0.0,0
4.321275095144908,499.5,0.0,0
4.331356700261434,499.25,0.0,0
4.338306852181753,498.5,0.0,0
4.346587411562601,498.5,0.0,0
4.358752997716268,498.0,0.0,0
4.367278901735942,497.75,0.0,0
4.372717157999674,497.5,0.0,0
4.386117605368296,497.0,0.0,0
4.396361124515534,496.75,0.0,0
4.402247560024262,496.25,0.0,0
4.411025484402974,496.0,0.0,0
4.420884239673614,495.75,0.0,0
4.427564867337545,495.5,0.0,0
4.440883715947469,495.25,0.0,0
4.447422726949056,495.0,0.0,0
4.455950343608857,494.5,0.0,0
4.468342304229736,494.25,0.0,0
4.475571676095327,493.75,0.0,0
4.484998238086701,493.5,0.0,0
4.491859114170074,493.25,0.0,0
4.501990497112274,493.0,0.0,0
4.508651204903921,492.75,0.0,0
4.516602170467377,492.25,0.0,0
4.529366131623586,491.75,0.0,0
4.537638008594513,491.5,0.0,0
4.546432133515676,491.25,0.0,0
4.551838131745656,491.0,0.0,0
4.561627451578776,490.75,0.0,0
4.573773499329885,490.25,0.0,0
4.58404936393102,490.0,0.0,0
4.590837200482686,489.5,0.0,0
4.598295327027639,489.5,0.0,0
4.61121175289154,489.0,0.0,0
4.618358480930328,488.5,0.0,0
4.628542343775432,488.5,0.0,0
4.633690698941549,488.25,0.0,0
4.643454853693644,488.0,0.0,0
4.653256766001383,487.5,0.0,0
4.662569471200308,487.25,0.0,0
4.670654940605163,487.0,0.0,0
4.679632755120595,486.75,0.0,0
4.6898828903834024,486.25,0.0,0
4.697125510374705,486.0,0.0,0
4.704179588953654,485.75,0.0,0
4.714017601807912,485.5,0.0,0
4.721198511123657,485.0,0.0,0
4.734036771456401,484.75,0.0,0
4.739754402637482,484.5,0.0,0
4.749579739570618,484.25,0.0,0
4.758046412467957,483.75,0.0,0
4.768337500095368,483.75,0.0,0
